,boat_name,activity,time
222,El Cazador,Weighed a 14.7 lb dolphin.,Wednesday @ 7:11 PM
223,Reel Affair,Weighed a 5.9 lb dolphin.,Wednesday @ 7:10 PM
224,Freyja,Released a blue marlin.,Wednesday @ 2:30 PM
225,Big Tahuna,Lost (Pulled Hook).,Wednesday @12:45 PM
226,Big Tahuna,Hooked up,Wednesday @12:27 PM
227,Singularis,Released a blue marlin.,Wednesday @12:41 PM
228,Starflite,Released a blue marlin.,Wednesday @11:50 AM
229,Sea Toy,Released a white marlin.,Wednesday @11:23 AM
230,Annie O,Released a white marlin.,Wednesday @10:51 AM
231,Annie O,Released a sailfish.,Wednesday @ 9:49 AM
232,Annie O,Daily 1st Release,Wednesday @ 9:10 AM
233,Artemis,Weighed a 19.4 lb dolphin.,Tuesday @ 7:44 PM
234,BANKWALKER,Weighed a 19.3 lb dolphin.,Tuesday @ 7:41 PM
235,Carterican,Weighed a 32.4 lb dolphin.,Tuesday @ 7:15 PM
236,Hello Dolly,Weighed a 21.9 lb dolphin.,Tuesday @ 7:13 PM
237,Tammy Gail,Weighed a 23.9 lb dolphin.,Tuesday @ 7:12 PM
238,Redemption,Weighed a 24.0 lb dolphin.,Tuesday @ 7:11 PM
239,High Time,Weighed a 17.3 lb dolphin.,Tuesday @ 7:08 PM
240,Brick Slinger,Weighed a 13.4 lb dolphin.,Tuesday @ 6:48 PM
241,Dancin Outlaw,Weighed a 18.2 lb dolphin.,Tuesday @ 6:47 PM
242,Game Plan,Weighed a 16.8 lb dolphin.,Tuesday @ 6:46 PM
243,Post Call,Weighed a 20.6 lb dolphin.,Tuesday @ 6:45 PM
244,Renegade,Weighed a 18.4 lb dolphin.,Tuesday @ 6:44 PM
245,Bill Collector,Weighed a 56.5 lb wahoo.,Tuesday @ 6:35 PM
246,Fin Print,Released a blue marlin/unverified.,Tuesday @ 4:10 PM
247,Fin Print,Hooked up,Tuesday @ 1:52 PM
248,Hammer Time,Lost (Pulled Hook).,Tuesday @ 3:02 PM
249,Hammer Time,Hooked up,Tuesday @ 2:59 PM
