,boat_name,activity,time
365,Accordingly IV,Released a dq'd.,Monday @ 3:24 PM
366,Whitecaps,Released a blue marlin/unverified.,Monday @ 3:02 PM
367,Whitecaps,Hooked up,Monday @ 2:21 PM
368,Reel Pirate,Lost (Wrong Species).,Monday @ 2:52 PM
369,Reel Pirate,Hooked up,Monday @ 2:52 PM
370,Qualifier,Lost (Pulled Hook).,Monday @ 2:51 PM
371,Qualifier,Hooked up,Monday @ 2:51 PM
372,Reel Happy,Released a sailfish.,Monday @ 2:19 PM
373,Reel Happy,Hooked up,Monday @ 2:19 PM
374,El Cazador,Lost (Pulled Hook).,Monday @ 2:09 PM
375,El Cazador,Hooked up,Monday @ 2:09 PM
376,Saving Grace,Lost (Pulled Hook).,Monday @12:56 PM
377,Saving Grace,Hooked up,Monday @12:56 PM
378,Shenandoah,Released a white marlin.,Monday @12:28 PM
379,Shenandoah,Hooked up,Monday @12:25 PM
380,Sea Creature,Released a blue marlin/unverified.,Monday @11:50 AM
381,Sea Creature,Hooked up,Monday @11:41 AM
382,Ann Warrick,Released a blue marlin.,Monday @11:42 AM
383,Ann Warrick,Hooked up,Monday @11:13 AM
384,Maggie,Lost (Pulled Hook).,Monday @11:42 AM
385,Maggie,Hooked up,Monday @11:31 AM
386,Carolina Time,Released a blue marlin/unverified.,Monday @11:24 AM
387,Carolina Time,Hooked up,Monday @ 9:36 AM
388,Anita Jean,Released a sailfish.,Monday @11:18 AM
389,Carterican,Released a blue marlin.,Monday @11:10 AM
390,Carterican,Hooked up,Monday @10:30 AM
391,Wall Hanger,Released a daily 1st release.,Monday @11:10 AM
392,Wall Hanger,Hooked up,Monday @11:07 AM
393,Wall Hanger,Released a blue marlin.,Monday @11:10 AM
394,Carolina Lady,Lost (Wrong Species).,Monday @11:00 AM
395,Carolina Lady,Hooked up,Monday @11:00 AM
396,Tuna Duck,Lost (Pulled Hook).,Monday @10:13 AM
397,Tuna Duck,Hooked up,Monday @10:13 AM
